Date,Open,High,Low,Close,Volume,Adj Close
25/02/2005,4103.9,4136.8,4103,4130.5,0,4130.5
24/02/2005,4119,4134.5,4096.9,4096.9,0,4096.9
23/02/2005,4150.9,4150.9,4117.6,4119.2,0,4119.2
22/02/2005,4169.8,4175.2,4147.9,4153.3,0,4153.3
21/02/2005,4168.8,4173.9,4166.8,4168.2,0,4168.2
18/02/2005,4164.7,4169.5,4152.9,4163.6,0,4163.6
17/02/2005,4157.5,4172.1,4150.3,4166.9,0,4166.9
16/02/2005,4156.6,4169.1,4146.3,4151.7,0,4151.7
15/02/2005,4150.3,4159.3,4140.7,4144.8,0,4144.8
14/02/2005,4180.2,4190.5,4142.5,4150.2,0,4150.2
11/02/2005,4178,4185,4172.2,4174.3,0,4174.3
10/02/2005,4170.9,4178.3,4160,4174.9,0,4174.9
9/02/2005,4179.3,4189.3,4165.4,4172.1,0,4172.1
8/02/2005,4190.3,4190.4,4169.4,4179.1,0,4179.1
7/02/2005,4164.6,4195.6,4164.5,4189.6,0,4189.6
4/02/2005,4147.7,4165.4,4140.8,4161.8,0,4161.8
3/02/2005,4147.6,4160.6,4144.6,4151.3,0,4151.3
2/02/2005,4138.3,4150.8,4137.2,4145.3,0,4145.3
1/02/2005,4113.7,4130.9,4113.7,4127.7,0,4127.7
31/01/2005,4098.4,4111.1,4095.4,4107.3,0,4107.3
28/01/2005,4108,4121,4098.9,4098.9,0,4098.9
27/01/2005,4062.4,4110.4,4061.9,4105.7,0,4105.7
25/01/2005,4051.2,4070.3,4050.4,4055.9,0,4055.9
24/01/2005,4046.4,4052.3,4041.7,4044.8,0,4044.8
21/01/2005,4035.4,4045.9,4033.8,4043.9,0,4043.9
20/01/2005,4045.3,4045.8,4027.3,4036,0,4036
19/01/2005,4066.8,4081.5,4039,4052.6,0,4052.6
18/01/2005,4082.1,4094.3,4053.8,4062,0,4062
17/01/2005,4063.2,4084.4,4063.2,4076.9,0,4076.9
14/01/2005,4067,4069,4056.8,4061.6,0,4061.6
13/01/2005,4074,4089.4,4067,4069.5,0,4069.5
12/01/2005,4074,4076,4060.7,4070.4,0,4070.4
11/01/2005,4076.5,4089.8,4072.7,4072.7,0,4072.7
10/01/2005,4063.1,4078.4,4058.4,4074.9,0,4074.9
7/01/2005,4034.4,4069.7,4034.4,4063.2,0,4063.2
6/01/2005,4037,4041.1,4026.2,4029.9,0,4029.9
